What is your age,What is your gender identity,Other (please specify)...4,American Indian or Alaska Native,Asian or Asian American,Black or African American,Hispanic or Latino,Middle Eastern or North African,Native Hawaiian or other Pacific Islander,White,Another race,Other (please specify)...13,In what state or U.S. territory do you live?,What is the geography of your place of residence?,Which of the following best describes your current relationship status?,What is the highest level of education you have completed?,Protestantism,Catholicism,Christianity,Judaism,Islam,Buddhism,Hinduism,Native American,Inter/Non-denominational,No religion,Other (please specify)...28,RHISum,RHIMean,PeerMean,MentorMean,CommunityMean,Zest,Engagement,Authenticity,SocialScore,EmotionalScore,Loneliness
30,Cisgender man,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Ohio,Suburban,Married,Graduated from college,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.727272727272727,2.4285714285714284,2.8461538461538463,3.3333333333333335,NA,2,3,5
37,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Texas,Urban,Cohabiting with a significant other or in a domestic partnership,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,Spirituality,126,6.631578947368421,4.166666666666667,3.090909090909091,3,3,3.75,3.5,1,2,3
33,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Ohio,Rural,"Single, never married",Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,3.8333333333333335,2.6363636363636362,NA,2.5384615384615383,NA,3.1666666666666665,5,6,11
41,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Alabama,Rural,Married,2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,103,5.421052631578948,2.9166666666666665,3.090909090909091,2.4285714285714284,2.5384615384615383,2.9166666666666665,2.9166666666666665,5,3,8
26,Non-binary,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Louisiana,Urban,"Single, never married",Graduated from high school,NA,NA,Christianity,Judaism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2727272727272725,3.857142857142857,NA,3.5,4.166666666666667,2,0,2
31,Cisgender man,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,Illinois,Urban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,109,5.7368421052631575,4.25,2.4545454545454546,2.2142857142857144,2.8461538461538463,3,3,0,0,0
30,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Illinois,Suburban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,115,6.052631578947368,3.3333333333333335,3.272727272727273,2.7857142857142856,2.923076923076923,2.8333333333333335,3.5833333333333335,4,3,7
31,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Indiana,Suburban,Married,Some graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,121,6.368421052631579,3.8333333333333335,3,3,3.3076923076923075,3.3333333333333335,3.1666666666666665,4,5,9
55,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Alabama,Suburban,Married,Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,98,5.157894736842105,2.6666666666666665,3.272727272727273,2.142857142857143,2.5384615384615383,2.5,2.9166666666666665,4,4,8
36,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Illinois,Urban,Cohabiting with a significant other or in a domestic partnership,Some graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,154,8.105263157894736,5,4.181818181818182,3.4285714285714284,4.230769230769231,4.25,4,0,1,1
46,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Texas,Suburban,Cohabiting with a significant other or in a domestic partnership,2 years of college,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,92,4.842105263157895,3.1666666666666665,2.6363636363636362,1.7857142857142858,2,2.5833333333333335,2.9166666666666665,2,0,2
24,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,New York,Suburban,Married,Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,7.473684210526316,4.333333333333333,3.8181818181818183,3.4285714285714284,4.384615384615385,4.25,2.8333333333333335,0,1,1
38,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Pennsylvania,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wicca/Pagan,131,6.894736842105263,3.5,3.727272727272727,3.4285714285714284,3.6153846153846154,3.75,3.25,1,1,2
45,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Utah,Suburban,Married,3 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,85,4.473684210526316,2.4166666666666665,2.090909090909091,2.357142857142857,2.230769230769231,1.9166666666666667,2.75,5,6,11
29,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Minnesota,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,117,6.157894736842105,3.9166666666666665,3.272727272727273,2.4285714285714284,2.6153846153846154,3.25,3.6666666666666665,1,1,2
73,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Suburban,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,123,6.473684210526316,3.4166666666666665,3.727272727272727,2.9285714285714284,3.230769230769231,3.8333333333333335,2.9166666666666665,5,6,11
35,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Illinois,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,100,5.2631578947368425,3,3.1818181818181817,2.0714285714285716,2.4615384615384617,2.3333333333333335,3.3333333333333335,2,6,8
29,Non-binary,Man,NA,NA,NA,NA,NA,NA,White,NA,NA,Nebraska,Urban,"Single, never married",Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,NA,2.272727272727273,2.2857142857142856,NA,NA,3.9166666666666665,4,5,9
29,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Wisconsin,Urban,Cohabiting with a significant other or in a domestic partnership,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,136,7.157894736842105,4.25,4.090909090909091,2.857142857142857,3.8461538461538463,4.083333333333333,3.0833333333333335,0,1,1
33,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Oregon,Suburban,Married,2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6153846153846154,3.25,NA,3,3,6
49,Cisgender woman,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,California,Suburban,"Single, never married",Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,111,5.842105263157895,3.5833333333333335,3.3636363636363638,2.2142857142857144,2.923076923076923,3.0833333333333335,3,5,6,11
25,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,Florida,Suburban,"Single, never married",Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,120,6.315789473684211,3.6666666666666665,3.5454545454545454,2.642857142857143,3.1538461538461537,3.25,3.3333333333333335,0,3,3
36,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Virginia,Suburban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,113,5.947368421052632,3.0833333333333335,3.727272727272727,2.5,2.769230769230769,3,3.4166666666666665,5,6,11
45,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Texas,Suburban,"Single, never married",Graduated from college,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,133,7,3.6666666666666665,3.909090909090909,3.2857142857142856,3.8461538461538463,3.8333333333333335,3.0833333333333335,5,6,11
20,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Urban,"Single, never married",1 year of college,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,140,7.368421052631579,4.25,4,3.2142857142857144,4.230769230769231,4.166666666666667,2.9166666666666665,NA,NA,NA
29,Cisgender man,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,Washington,Suburban,"Single, never married",Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,84,4.421052631578948,3.1666666666666665,2.4545454545454546,1.3571428571428572,2.076923076923077,2.1666666666666665,2.5833333333333335,3,2,5
56,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Oregon,Urban,Divorced,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,NA,3.5454545454545454,2.5714285714285716,3.230769230769231,NA,2.9166666666666665,5,6,11
48,Cisgender man,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,New Jersey,Urban,Separated,11th grade,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,142,7.473684210526316,3.6666666666666665,4.818181818181818,3.2142857142857144,3.769230769230769,4.083333333333333,3.6666666666666665,2,1,3
48,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New York,Urban,Cohabiting with a significant other or in a domestic partnership,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,128,6.7368421052631575,4,3.6363636363636362,2.857142857142857,3.076923076923077,3.8333333333333335,3.5,4,6,10
60,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Urban,Divorced,Graduated from college,NA,NA,NA,NA,NA,Buddhism,NA,NA,NA,NA,NA,114,6,3.75,3.6363636363636362,2.0714285714285716,2.923076923076923,2.9166666666666665,3.4166666666666665,2,0,2
38,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Suburban,Married,Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,116,6.105263157894737,3.25,3.5454545454545454,2.7142857142857144,2.8461538461538463,3.5,3.0833333333333335,4,4,8
38,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New Jersey,Suburban,Married,1 year of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,124,6.526315789473684,3.5,3.4545454545454546,3.142857142857143,3.3846153846153846,3.5833333333333335,3.0833333333333335,3,5,8
32,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,New York,Urban,"Single, never married",Graduated from college,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,7.7894736842105265,4,4,4,4,4,4,0,3,3
33,Gender fluid,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,California,Urban,"Single, never married",Graduated from high school,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2.4285714285714284,NA,2.9166666666666665,2.8333333333333335,5,2,7
44,Cisgender man,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,North Carolina,Urban,"Single, never married",2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,97,5.105263157894737,2.8333333333333335,2.3636363636363638,2.642857142857143,2.6923076923076925,2.4166666666666665,2.75,5,6,11
27,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Ohio,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,136,7.157894736842105,3.8333333333333335,4.090909090909091,3.2142857142857144,3.6923076923076925,3.75,3.5833333333333335,0,3,3
21,Gender fluid,NA,NA,NA,Black or African American,Hispanic or Latino,NA,NA,White,NA,NA,New York,Urban,"Single, never married",2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,123,6.473684210526316,3.5833333333333335,3.4545454545454546,3,3.1538461538461537,3.25,3.5833333333333335,4,5,9
38,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Exurban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,3.75,NA,2.357142857142857,3,NA,3.25,2,3,5
29,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,California,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,3.1666666666666665,NA,2.2857142857142856,2.769230769230769,2.8333333333333335,NA,4,5,9
36,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Georgia,Suburban,Married,Some graduate school,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,93,4.894736842105263,3,2,2.5,2.3076923076923075,2.3333333333333335,2.9166666666666665,4,6,10
34,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Washington,Suburban,"Single, never married",Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,Inter/Non-denominational,NA,NA,NA,NA,NA,3.5454545454545454,3.142857142857143,NA,3.75,3,0,0,0
42,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Suburban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,123,6.473684210526316,3.1666666666666665,4.181818181818182,2.7857142857142856,3.6153846153846154,3.5,2.8333333333333335,4,5,9
42,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Ohio,Suburban,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,131,6.894736842105263,3.6666666666666665,3.6363636363636362,3.357142857142857,3.3076923076923075,3.75,3.5833333333333335,3,4,7
36,Cisgender man,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,California,Suburban,"Single, never married",Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,72,3.789473684210526,2.75,1.5454545454545454,1.5714285714285714,1.8461538461538463,1.5,2.5,5,6,11
48,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Texas,Suburban,Married,Completed graduate school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,116,6.105263157894737,3.4166666666666665,3.4545454545454546,2.642857142857143,3.3076923076923075,3.4166666666666665,2.6666666666666665,3,5,8
28,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New York,Urban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,110,5.7894736842105265,3.8333333333333335,2.727272727272727,2.4285714285714284,2.6923076923076925,3.3333333333333335,2.9166666666666665,0,0,0
30,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,Texas,Suburban,Cohabiting with a significant other or in a domestic partnership,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,Inter/Non-denominational,NA,NA,108,5.684210526315789,3,3.3636363636363638,2.5,2.6153846153846154,3.0833333333333335,3.0833333333333335,4,0,4
27,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Oklahoma,Urban,Married,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,101,5.315789473684211,2.9166666666666665,2.8181818181818183,2.5,2.923076923076923,2.4166666666666665,2.8333333333333335,4,6,10
25,Cisgender woman,NA,NA,NA,NA,NA,Middle Eastern or North African,NA,White,NA,NA,New Jersey,Suburban,"Single, never married",Graduated from college,NA,NA,NA,Judaism,NA,NA,NA,NA,NA,NA,NA,97,5.105263157894737,3.75,1.9090909090909092,2.2142857142857144,2.3846153846153846,2.6666666666666665,2.8333333333333335,4,5,9
34,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New York,Urban,Separated,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,3.0833333333333335,NA,2.2857142857142856,2.923076923076923,NA,3.3333333333333335,5,6,11
26,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Alabama,Rural,Cohabiting with a significant other or in a domestic partnership,2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,116,6.105263157894737,4,3.5454545454545454,2.0714285714285716,3,3.0833333333333335,3.3333333333333335,3,6,9
42,Cisgender man,NA,NA,Asian or Asian American,Black or African American,NA,NA,NA,NA,NA,NA,Kentucky,Suburban,"Single, never married",Graduated from college,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,6.526315789473684,3.5,3.8181818181818183,2.857142857142857,3.3076923076923075,3.75,3,2,4,6
41,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,Florida,Suburban,Divorced,Completed graduate school,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,7.2631578947368425,3.9166666666666665,4.2727272727272725,3.142857142857143,3.769230769230769,4,3.4166666666666665,5,5,10
43,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,Florida,Suburban,Married,11th grade,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,6.315789473684211,3.3333333333333335,3.3636363636363638,3.0714285714285716,3.076923076923077,3.8333333333333335,2.8333333333333335,1,3,4
40,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Tennessee,Suburban,Married,3 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,123,6.473684210526316,4.083333333333333,3.3636363636363638,2.642857142857143,3.076923076923077,3.0833333333333335,3.8333333333333335,2,5,7
19,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Colorado,Suburban,"Single, never married",2 years of college,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,137,7.2105263157894735,4,4.090909090909091,3.142857142857143,3.923076923076923,4,3.1666666666666665,5,6,11
31,Cisgender woman,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,Florida,Suburban,"Single, never married",Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,3.75,4.2727272727272725,NA,3.6923076923076925,3.9166666666666665,NA,0,0,0
36,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Kentucky,Rural,Married,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,142,7.473684210526316,4.25,4.545454545454546,2.9285714285714284,4,4.333333333333333,3.1666666666666665,1,4,5
51,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New York,Urban,Married,Graduated from high school,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,5.7894736842105265,3.3333333333333335,2.727272727272727,2.857142857142857,2.769230769230769,3,3.1666666666666665,3,2,5
33,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,California,Urban,"Single, never married",3 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,118,6.2105263157894735,3.8333333333333335,3.8181818181818183,2.142857142857143,2.4615384615384617,3,4.166666666666667,5,5,10
39,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Arizona,Suburban,Married,1 year of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8181818181818183,2.7857142857142856,3.5384615384615383,NA,3.0833333333333335,2,4,6
26,Cisgender woman,NA,NA,NA,NA,Hispanic or Latino,NA,NA,White,NA,NA,Illinois,Suburban,"Single, never married",2 years of college,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,2.8947368421052633,1.3333333333333333,1,2,1,1.1666666666666667,2.3333333333333335,5,6,11
28,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Michigan,Urban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,114,6,3.75,3.090909090909091,2.5,2.923076923076923,3.0833333333333335,3.25,2,3,5
22,Cisgender woman,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,New York,Urban,"Single, never married",3 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,121,6.368421052631579,3.1666666666666665,3.3636363636363638,3.2857142857142856,3.3846153846153846,3.5833333333333335,2.8333333333333335,4,5,9
62,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New Hampshire,Rural,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,99,5.2105263157894735,3,2.090909090909091,2.857142857142857,2.6153846153846154,2.4166666666666665,3,5,6,11
35,Cisgender woman,NA,NA,Asian or Asian American,NA,NA,NA,NA,White,NA,NA,Texas,Suburban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,137,7.2105263157894735,4.25,4.363636363636363,2.7142857142857144,3.6153846153846154,3.8333333333333335,3.6666666666666665,3,6,9
35,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Wisconsin,Rural,Married,3 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,NA,NA,3.5,NA,2.357142857142857,3.230769230769231,NA,2.9166666666666665,3,4,7
21,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,California,Suburban,"Single, never married",3 years of college,NA,NA,NA,NA,NA,Buddhism,NA,NA,NA,NA,NA,126,6.631578947368421,4,3.909090909090909,2.5,3.3846153846153846,3.6666666666666665,3.1666666666666665,1,0,1
42,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Louisiana,Urban,Married,Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agnostic,97,5.105263157894737,3.25,2.090909090909091,2.5,2.6153846153846154,2.8333333333333335,2.4166666666666665,3,4,7
30,Cisgender woman,NA,NA,NA,Black or African American,Hispanic or Latino,NA,NA,White,NA,NA,California,Urban,Cohabiting with a significant other or in a domestic partnership,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,115,6.052631578947368,3.5833333333333335,3.3636363636363638,2.5,2.8461538461538463,3.5,3,2,3,5
42,Gender fluid,Normal man,NA,NA,NA,NA,NA,NA,White,NA,NA,Oregon,Rural,Cohabiting with a significant other or in a domestic partnership,Graduated from high school,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,123,6.473684210526316,3.5,3.4545454545454546,3.0714285714285716,3.230769230769231,3.3333333333333335,3.4166666666666665,5,4,9
26,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Virginia,Suburban,"Single, never married",Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,2.909090909090909,NA,2.230769230769231,2.5833333333333335,NA,0,0,0
21,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,White,NA,NA,New Jersey,Urban,"Single, never married",2 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,140,7.368421052631579,3.75,4.363636363636363,3.357142857142857,3.769230769230769,4.416666666666667,3.1666666666666665,NA,5,NA
30,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Pennsylvania,Suburban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,Inter/Non-denominational,NA,NA,113,5.947368421052632,3.75,3.3636363636363638,2.2142857142857144,2.769230769230769,2.9166666666666665,3.5,2,1,3
53,Cisgender man,NA,NA,Asian or Asian American,NA,NA,NA,NA,NA,NA,NA,California,Suburban,Married,Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,128,6.7368421052631575,3.5,4,3,3.3076923076923075,3.5833333333333335,3.5,4,6,10
48,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Urban,Married,Graduated from college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,138,7.2631578947368425,3.9166666666666665,4.545454545454546,2.9285714285714284,3.3846153846153846,3.8333333333333335,4,2,3,5
38,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Wisconsin,Suburban,Married,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,143,7.526315789473684,3.75,4,3.857142857142857,4.076923076923077,4.083333333333333,3.4166666666666665,NA,0,NA
41,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,New Jersey,Suburban,Married,Graduated from college,Protestantism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,6.7368421052631575,4,3.3636363636363638,3.0714285714285716,3.3076923076923075,3.5833333333333335,3.5,1,3,4
36,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Florida,Urban,"Single, never married",Graduated from college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,123,6.473684210526316,3.1666666666666665,3.8181818181818183,3.0714285714285716,3.230769230769231,3.5833333333333335,3.1666666666666665,5,4,9
44,Cisgender woman,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Alabama,Urban,"Single, never married",3 years of college,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,134,7.052631578947368,3.25,4.2727272727272725,3.4285714285714284,3.3076923076923075,3.6666666666666665,3.9166666666666665,3,4,7
37,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Ohio,Suburban,"Single, never married",Graduated from college,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,130,6.842105263157895,4,3.8181818181818183,2.857142857142857,3.5384615384615383,3.5,3.5,5,6,11
41,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Colorado,Suburban,Married,Graduated from high school,NA,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,126,6.631578947368421,3.8333333333333335,3.6363636363636362,2.857142857142857,3.230769230769231,3.4166666666666665,3.5833333333333335,4,2,6
35,Cisgender man,NA,NA,NA,NA,Hispanic or Latino,NA,NA,NA,NA,NA,Michigan,Suburban,Cohabiting with a significant other or in a domestic partnership,Graduated from college,NA,Catholicism,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,5.368421052631579,3.3333333333333335,2.8181818181818183,2.2142857142857144,2.769230769230769,2.9166666666666665,2.5833333333333335,0,4,4
53,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,West Virginia,Suburban,Cohabiting with a significant other or in a domestic partnership,2 years of college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheist,128,6.7368421052631575,4,3.727272727272727,2.7857142857142856,2.923076923076923,3.9166666666666665,3.5833333333333335,0,0,0
58,Cisgender woman,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Louisiana,Rural,Married,Completed graduate school,Protestantism,NA,Christianity,NA,NA,NA,NA,NA,NA,NA,NA,147,7.7368421052631575,4.416666666666667,4.7272727272727275,3,3.769230769230769,4.083333333333333,4.083333333333333,0,0,0
33,Cisgender man,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,Wisconsin,Suburban,"Single, never married",Graduated from high school,NA,NA,NA,NA,NA,NA,NA,NA,NA,No religion,NA,95,5,2.75,3.3636363636363638,1.7857142857142858,1.8461538461538463,2.5833333333333335,3.3333333333333335,4,5,9
